Participant,EDA,DiffEDA
5,2.96856827685089,-2.91296344629822
5,2.96976266745906,-2.90447466508187
5,2.96670766745906,-2.89836466508187
5,2.96113420147876,-2.91257159704249
5,2.96342420147876,-2.91715159704249
5,2.9652327720627,-2.9135344558746
5,2.9667577720627,-2.9165844558746
5,2.96823266745906,-2.90141466508187
5,2.96689778248739,-2.91324443502523
5,2.96613778248739,-2.91172443502523
5,2.96356324518897,-2.91381350962206
5,2.96127324518897,-2.90923350962206
5,2.95655420147876,-2.90341159704249
5,2.96189420147876,-2.91409159704249
5,2.9652327720627,-2.9135344558746
5,2.9675177720627,-2.9181044558746
5,2.9690477720627,-2.9211644558746
5,2.9698077720627,-2.9226844558746
5,2.97042824518897,-2.92754350962206
5,2.96890324518897,-2.92449350962206
5,2.96856827685089,-2.91296344629822
5,2.96475327685089,-2.90533344629822
5,2.9606527720627,-2.9043744558746
5,2.9583627720627,-2.8997944558746
5,2.95926778248739,-2.89798443502523
5,2.95926778248739,-2.89798443502523
5,2.96246327685089,-2.90075344629822
5,2.96017327685089,-2.89617344629822
5,2.9514977720627,-2.8860644558746
5,2.9522627720627,-2.8875944558746
5,2.95017256200118,-2.89787487599764
5,2.94940756200118,-2.89634487599764
5,2.9560777720627,-2.8952244558746
5,2.9583627720627,-2.8997944558746
5,2.94552419932695,-2.9102116013461
5,2.94170919932695,-2.9025816013461
5,2.95211824518897,-2.89092350962206
5,2.95517324518897,-2.89703350962206
5,2.9576027720627,-2.8982744558746
5,2.9568377720627,-2.8967444558746
5,2.95398756200118,-2.90550487599764
5,2.95246256200118,-2.90245487599764
5,2.9567578505387,-2.91826429892259
5,2.9582828505387,-2.92131429892259
5,2.95059525342804,-2.92754949314392
5,2.94830525342804,-2.92296949314392
5,2.94947939162739,-2.91452121674523
5,2.94795439162739,-2.91147121674523
5,2.95364324518897,-2.89397350962206
5,2.9545477720627,-2.8921644558746
5,2.9560777720627,-2.8952244558746
5,2.95336564054503,-2.90064871890994
5,2.96023064054503,-2.91437871890994
5,2.96814324518897,-2.92297350962206
5,2.97500824518897,-2.93670350962206
5,2.9896427720627,-2.9623544558746
5,2.9949877720627,-2.9730444558746
5,2.97617939162739,-2.96792121674522
5,2.95786939162739,-2.93130121674522
5,2.94260939162739,-2.90078121674522
5,2.94032439162739,-2.89621121674522
5,2.9491278505387,-2.90300429892259
5,2.9537078505387,-2.91216429892259
5,2.95377948672161,-2.93032102655678
5,2.95454448672161,-2.93185102655678
5,2.96099064054503,-2.91589871890994
5,2.96023064054503,-2.91437871890994
5,2.9621777720627,-2.9074244558746
5,2.9614177720627,-2.9059044558746
5,2.94664149906332,-2.92323700187336
5,2.94588149906332,-2.92171700187336
5,2.94471310571917,-2.93015378856166
5,2.94394810571917,-2.92862378856166
5,2.95489064054503,-2.90369871890994
5,2.95412564054503,-2.90216871890994
5,2.94372525342804,-2.91380949314392
5,2.94372525342804,-2.91380949314392
5,2.94345822324494,-2.92046355351012
5,2.93964322324494,-2.91283355351012
5,2.94642439162739,-2.90841121674522
5,2.94566439162739,-2.90689121674523
5,2.95183564054503,-2.89758871890994
5,2.94955064054503,-2.89301871890994
5,2.94670121684891,-2.90175756630217
5,2.94822621684891,-2.90480756630217
5,2.94803322324494,-2.92961355351012
5,2.94879822324494,-2.93114355351012
5,2.94795439162739,-2.91147121674523
5,2.94587420147876,-2.88205159704249
5,2.94434920147876,-2.87900159704249
5,2.9415028505387,-2.88775429892259
5,2.9399728505387,-2.88469429892259
5,2.93983621684891,-2.88802756630217
5,2.93831121684891,-2.88497756630217
5,2.94039564054503,-2.87470871890994
5,2.93963064054503,-2.87317871890994
5,2.92716310571917,-2.89505378856166
5,2.92487810571917,-2.89048378856166
5,2.92411310571917,-2.88895378856166
5,2.92640310571917,-2.89353378856166
5,2.935534965461,-2.872210069078
5,2.937824965461,-2.876790069078
5,2.93138649906332,-2.89272700187336
5,2.92757149906332,-2.88509700187336
5,2.92577542559079,-2.88868914881843
5,2.92730042559079,-2.89173914881843
5,2.93102919932695,-2.8812216013461
5,2.93026919932695,-2.8797016013461
5,2.93658064054503,-2.86707871890994
5,2.93581564054503,-2.86554871890994
5,2.93297121684891,-2.87429756630217
5,2.93297121684891,-2.87429756630217
5,2.9331078505387,-2.87096429892259
5,2.9331078505387,-2.87096429892259
5,2.92833149906332,-2.88661700187336
5,2.92680649906332,-2.88356700187336
5,2.93581564054503,-2.86554871890994
5,2.93581564054503,-2.86554871890994
5,2.92371400898863,-2.89891198202274
5,2.92142400898863,-2.89433198202274
5,2.92707948672161,-2.87692102655678
5,2.92631448672161,-2.87539102655678
5,2.93144621684891,-2.87124756630217
5,2.93220621684891,-2.87276756630217
5,2.92915621684891,-2.86666756630217
5,2.92839121684891,-2.86513756630217
5,2.92402948672161,-2.87082102655678
5,2.92326448672161,-2.86929102655678
5,2.92133322324494,-2.87621355351012
5,2.92133322324494,-2.87621355351012
5,2.91760900898863,-2.88670198202274
5,2.91684900898863,-2.88518198202274
5,2.9178762632488,-2.88006747350241
5,2.9186412632488,-2.88159747350241
5,2.92686621684891,-2.86208756630217
5,2.92763121684891,-2.86361756630217
5,2.91953810571917,-2.87980378856166
